Rank,Player,Club,Nationality,Stat
1,Nathan Tella,,England,1
1,Kenny Tete,Fulham,Netherlands,1
1,Patrick van Aanholt,,Netherlands,1
1,Donny van de Beek,Manchester United,Netherlands,1
1,Joël Veltman,Brighton & Hove Albion,Netherlands,1
1,Kyle Walker,Manchester City,England,1
1,Joel Ward,Crystal Palace,England,1
1,Danny Welbeck,Brighton & Hove Albion,England,1
1,Andrii Yarmolenko,,Ukraine,1
1,Okay Yokuslu,,[object Object],1
2,Toby Alderweireld,,Belgium,0
2,David de Gea,Manchester United,Spain,0
2,Mason Holgate,Everton,England,0
2,Mario Lemina,,Gabon,0
2,Nemanja Matic,,Serbia,0
2,Adam Webster,Brighton & Hove Albion,England,0
