Rank,Player,Club,Nationality,Stat
2,Danny Welbeck,Brighton & Hove Albion,England,12
2,Thiago Alcântara,Liverpool,Spain,11
2,Ashley Barnes,Burnley,England,11
2,Joe Bryan,,England,11
2,Edinson Cavani,,Uruguay,11
2,James McCarthy,,Ireland,11
2,Édouard Mendy,Chelsea,Senegal,11
2,Tanguy Ndombélé,,France,11
2,Lee Peltier,,England,11
2,Tyler Roberts,,Wales,11
2,Mamadou Sakho,,France,11
2,Jeffrey Schlupp,Crystal Palace,Ghana,11
2,Adama Traoré,Wolverhampton Wanderers,Spain,11
2,Harry Winks,,England,11
2,Jordan Ayew,Crystal Palace,Ghana,10
2,Anwar El Ghazi,,Netherlands,10
2,John Fleck,Sheffield United,Scotland,10
2,Phil Foden,Manchester City,England,10
2,Eric García,,Spain,10
2,Olivier Giroud,,France,10
2,Raúl Jiménez,Wolverhampton Wanderers,Mexico,10
2,Marcus Rashford,Manchester United,England,10
2,Lucas Moura,Tottenham Hotspur,Brazil,10
2,Mohamed Salah,Liverpool,Egypt,10
2,Romaine Sawyers,,St. Kitts & Nevis,10
2,André Gomes,,Portugal,10
2,Joe Willock,,England,10
3,Steven Alzate,,Colombia,9
3,Harvey Barnes,Leicester City,England,9
3,Ilkay Gündogan,Manchester City,Germany,9
3,Curtis Jones,Liverpool,England,9
3,Mateo Kovacic,Chelsea,Croatia,9
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,9
3,Sadio Mané,,Senegal,9
3,Nemanja Matic,,Serbia,9
3,Benjamin Mendy,,France,9
3,Emile Smith Rowe,Arsenal,England,9
3,Kevin De Bruyne,Manchester City,Belgium,8
3,Rui Patrício,,Portugal,8
3,Anthony Martial,Manchester United,France,8
3,Marvelous Nakamba,,Zimbabwe,8
3,Christian Pulisic,Chelsea,United States,8
3,Nathan Redmond,,England,8
3,Callum Robinson,,Ireland,8
3,Fikayo Tomori,,England,8
3,Virgil van Dijk,Liverpool,Netherlands,8
3,Michail Antonio,,Jamaica,7
3,Steven Bergwijn,,Netherlands,7
3,Jonny,Wolverhampton Wanderers,Spain,7
3,Hamza Choudhury,,England,7
3,Fabian Delph,,England,7
3,Grady Diangana,West Bromwich Albion,England,7
3,Eberechi Eze,Crystal Palace,England,7
3,Pablo Fornals,West Ham United,Spain,7
3,Sébastien Haller,,Cote D’Ivoire,7
3,Ahmed Hegazy,,Egypt,7
3,Dean Henderson,,England,7
3,Ademola Lookman,Fulham,Nigeria,7
3,Nampalys Mendy,,Senegal,7
3,Aleksandar Mitrovic,Fulham,Serbia,7
3,Jakub Moder,Brighton & Hove Albion,Poland,7
3,Jack O'Connell,Sheffield United,England,7
3,Ayoze Pérez,,Spain,7
3,Hal Robson-Kanu,West Bromwich Albion,Wales,7
3,Ferran Torres,,Spain,7
3,Ross Barkley,,England,6
3,Willian,,Brazil,6
3,Michael Hector,,Jamaica,6
3,Ben Johnson,,England,6
3,Max Lowe,,England,6
3,Neal Maupay,,France,6
3,Bernardo Silva,Manchester City,Portugal,6
3,Emerson,,Italy,6
3,Jay Rodríguez,Burnley,England,6
3,Adrián,Liverpool,Spain,6
3,Donny van de Beek,Manchester United,Netherlands,6
3,Timo Werner,,Germany,6
3,Carlos Vinícius,,Brazil,5
3,Bernard,,Brazil,5
3,Michy Batshuayi,,Belgium,5
3,Jarrod Bowen,West Ham United,England,5
3,Gabriel Jesus,,Brazil,5
3,Ryan Fraser,Newcastle United,Scotland,5
3,Callum Hudson-Odoi,,England,5
3,Dan James,,Wales,5
3,Naby Keïta,Liverpool,Guinea,5
3,Manuel Lanzini,West Ham United,Argentina,5
3,Giovani Lo Celso,,Argentina,5
3,Pedro Neto,Wolverhampton Wanderers,Portugal,5
3,Eddie Nketiah,Arsenal,England,5
3,Denis Odoi,,Ghana,5
3,Robin Olsen,,Sweden,5
3,Jacob Ramsey,Aston Villa,England,5
3,Fábio Silva,,Portugal,5
3,Hélder Costa,,Angola,5
3,Yan Valery,,Tunisia,5
3,Matej Vydra,,[object Object],5
3,Martin Ødegaard,,Norway,5
3,Kepa Arrizabalaga,Chelsea,Spain,4
3,Charlie Austin,,England,4
3,Saïd Benrahma,West Ham United,Algeria,4
3,Rhian Brewster,Sheffield United,England,4
3,Oliver Burke,,Scotland,4
3,Kiko Casilla,,Spain,4
3,Jack Grealish,,England,4
3,James Maddison,Leicester City,England,4
3,Riyad Mahrez,Manchester City,Algeria,4
3,Niels Nkounkou,,France,4
3,Owen Otasowie,,United States,4
3,Darren Randolph,,Ireland,4
3,Rúben Vinagre,,Portugal,4
3,Raheem Sterling,,England,4
3,Brandon Williams,Manchester United,England,4
3,Neco Williams,,Wales,4
3,Dele Alli,,England,3
3,Sam Field,,England,3
3,Maxime Le Marchand,,France,3
3,Gabriel Martinelli,Arsenal,Brazil,3
3,Juan Mata,,Spain,3
3,Shkodran Mustafi,,Germany,3
3,Mark Noble,,England,3
3,Dennis Praet,Leicester City,Belgium,3
3,Kayne Ramsay,,England,3
3,Son Heung-Min,Tottenham Hotspur,South Korea,3
3,Diogo Jota,Liverpool,Portugal,3
3,Leandro Trossard,,Belgium,3
3,Theo Walcott,,England,3
4,Josh Benson,,England,2
4,Gaetano Berardi,,Switzerland,2
4,David Button,West Bromwich Albion,England,2
4,Daniel Podence,Wolverhampton Wanderers,Portugal,2
4,Keinan Davis,,England,2
4,Dwight Gayle,,England,2
4,Anthony Gordon,,England,2
4,Conor Hourihane,,Ireland,2
4,Caoimhín Kelleher,Liverpool,Ireland,2
4,Jonjoe Kenny,,England,2
4,Terence Kongolo,,Netherlands,2
4,Filip Krovinovic,,Croatia,2
4,Matty Longstaff,,England,2
4,Alexis Mac Allister,Brighton & Hove Albion,Argentina,2
4,Jean-Philippe Mateta,,France,2
4,Daniel N'Lundulu,,England,2
4,Divock Origi,,Belgium,2
4,Ian Poveda-Ocampo,,England,2
4,Marek Rodák,,Slovakia,2
4,Jamie Shackleton,,England,2
4,Billy Sharp,Sheffield United,England,2
4,Nathan Tella,,England,2
4,Andi Zeqiri,,Switzerland,2
4,Tom Cairney,Fulham,Scotland,1
4,Aaron Connolly,,Ireland,1
4,Amad Diallo,,Cote D’Ivoire,1
4,Anthony Elanga,Manchester United,Sweden,1
4,Bernardo,,Brazil,1
4,Timothy Fosu-Mensah,,Netherlands,1
4,Jean-Philippe Gbamin,,Cote D’Ivoire,1
4,Morgan Gibbs-White,,England,1
4,Billy Gilmour,,Scotland,1
4,Mason Greenwood,,England,1
4,Andrii Yarmolenko,,Ukraine,1
4,Wilfried Zaha,Crystal Palace,Cote D’Ivoire,1
4,Hakim Ziyech,Chelsea,Morocco,1
4,Aboubakar Kamara,,Mauritania,0
4,Caleb Watts,,Australia,0
