Rank,Player,Club,Nationality,Stat
2,Joël Matip,Liverpool,Cameroon,546
2,Jeff Hendrick,,Ireland,538
2,Okay Yokuslu,,[object Object],530
2,Christian Fuchs,,Austria,524
2,Anwar El Ghazi,,Netherlands,523
2,Paul Dummett,Newcastle United,Wales,518
2,Alexandre Lacazette,,France,514
2,Patrick Bamford,Leeds United,England,509
2,Marcos Alonso,,Spain,508
2,Kelechi Iheanacho,Leicester City,Nigeria,504
2,Rhys Williams,Liverpool,England,504
2,David de Gea,Manchester United,Spain,501
2,Danny Ings,,England,501
2,Jack Cork,Burnley,England,500
2,Martin Ødegaard,,Norway,496
2,Saïd Benrahma,West Ham United,Algeria,484
2,Fabián Balbuena,,Paraguay,482
2,Anthony Martial,Manchester United,France,481
2,Calum Chambers,,England,479
2,Matt Phillips,West Bromwich Albion,Scotland,478
2,Arthur Masuaku,,DR Congo,476
2,Erik Pieters,,Netherlands,472
2,Ahmed El Mohamady,,Egypt,470
2,Ayoze Pérez,,Spain,470
2,Tim Ream,Fulham,United States,468
2,Ricardo Pereira,Leicester City,Portugal,464
2,Tyler Roberts,,Wales,463
2,Jacob Murphy,Newcastle United,England,458
2,Alex Telles,,Brazil,458
2,Emil Krafth,Newcastle United,Sweden,455
2,Daniel Amartey,,Ghana,454
2,Michail Antonio,,Jamaica,453
2,Kean Bryan,,England,447
2,Nathaniel Clyne,Crystal Palace,England,443
2,Oliver McBurnie,Sheffield United,Scotland,440
3,Steven Alzate,,Colombia,437
3,Jóhann Gudmundsson,Burnley,Iceland,437
3,Matt Ritchie,Newcastle United,Scotland,437
3,Sander Berge,Sheffield United,Norway,436
3,Jamie Vardy,Leicester City,England,434
3,Mark Noble,,England,430
3,Joe Rodon,,Wales,429
3,Diogo Jota,Liverpool,Portugal,426
3,Jack Robinson,Sheffield United,England,423
3,Allan Saint-Maximin,Newcastle United,France,417
3,Steven Bergwijn,,Netherlands,416
3,Ferran Torres,,Spain,406
3,Luke Thomas,Leicester City,England,405
3,Theo Walcott,,England,400
3,Xherdan Shaqiri,,Switzerland,399
3,Jeffrey Schlupp,Crystal Palace,Ghana,398
3,Mathew Ryan,,Australia,397
3,Alexis Mac Allister,Brighton & Hove Albion,Argentina,396
3,Callum Robinson,,Ireland,390
3,Takumi Minamino,,Japan,387
3,Jake Livermore,West Bromwich Albion,England,383
3,Moussa Djenepo,Southampton,Mali,382
3,Pablo Hernández,,Spain,378
3,Aleksandar Mitrovic,Fulham,Serbia,378
3,Tariq Lamptey,Brighton & Hove Albion,Ghana,374
3,Martin Dúbravka,Newcastle United,Slovakia,371
3,Manuel Lanzini,West Ham United,Argentina,370
3,Gareth Bale,,Wales,366
3,Cédric Soares,,Portugal,365
3,Filip Krovinovic,,Croatia,360
3,Mohammed Salisu,Southampton,Ghana,360
3,Naby Keïta,Liverpool,Guinea,356
3,Robert Brady,,Ireland,351
3,Virgil van Dijk,Liverpool,Netherlands,341
3,Callum Wilson,Newcastle United,England,341
3,Eric García,,Spain,339
3,Erik Lamela,,Argentina,338
3,Edinson Cavani,,Uruguay,336
3,Grady Diangana,West Bromwich Albion,England,336
3,James McCarthy,,Ireland,331
3,Dele Alli,,England,330
3,Vitinha,,Portugal,330
3,Fábio Silva,,Portugal,323
3,Branislav Ivanovic,West Bromwich Albion,Serbia,317
3,Joe Bryan,,England,314
3,Joe Willock,,England,314
3,Jayden Bogle,Sheffield United,England,312
3,Ashley Barnes,Burnley,England,304
3,Hélder Costa,,Angola,303
3,Marçal,,Brazil,301
3,Willian José,,Brazil,298
3,Dennis Praet,Leicester City,Belgium,294
3,Ki-Jana Hoever,,Netherlands,291
3,Javier Manquillo,Newcastle United,Spain,290
3,Trézéguet,,Egypt,288
3,Dan James,,Wales,288
3,Juan Mata,,Spain,286
3,Marvelous Nakamba,,Zimbabwe,285
3,Jay Rodríguez,Burnley,England,274
3,Donny van de Beek,Manchester United,Netherlands,273
3,Kevin Long,,Ireland,265
3,Kieran Gibbs,,England,264
3,Jakub Moder,Brighton & Hove Albion,Poland,263
3,Axel Tuanzebe,,England,263
3,Ryan Fraser,Newcastle United,Scotland,262
3,Raúl Jiménez,Wolverhampton Wanderers,Mexico,259
3,Dean Henderson,,England,258
3,Danny Welbeck,Brighton & Hove Albion,England,258
3,Bernard,,Brazil,252
3,Oliver Burke,,Scotland,252
3,Sébastien Haller,,Cote D’Ivoire,245
3,Fraser Forster,,England,243
3,Matej Vydra,,[object Object],236
3,Hamza Choudhury,,England,235
3,Mbaye Diagne,,Senegal,235
3,Kortney Hause,,England,232
3,Alireza Jahanbakhsh,,Iran,232
3,Ryan Fredericks,,England,226
3,Billy Gilmour,,Scotland,225
3,Morgan Gibbs-White,,England,222
3,Jacob Ramsey,Aston Villa,England,221
3,Olivier Giroud,,France,219
3,Fabian Delph,,England,217
3,Karlan Grant,West Bromwich Albion,England,217
3,Rhian Brewster,Sheffield United,England,207
3,Tammy Abraham,,England,205
3,Kepa Arrizabalaga,Chelsea,Spain,205
3,Phil Jagielka,,England,204
3,Japhet Tanganga,Tottenham Hotspur,England,199
3,Jamie Shackleton,,England,192
3,Michael Hector,,Jamaica,186
3,Ben Johnson,,England,184
3,Jonny,Wolverhampton Wanderers,Spain,182
3,James Tomkins,Crystal Palace,England,182
3,Josh Maja,Fulham,Nigeria,180
3,Robin Olsen,,Sweden,176
3,Max Lowe,,England,172
3,Sergio Agüero,,Argentina,171
3,Josh Onomah,,England,170
3,Denis Odoi,,Ghana,168
4,Michy Batshuayi,,Belgium,167
4,Neco Williams,,Wales,157
4,Jimmy Dunne,,Ireland,153
4,Gabriel Martinelli,Arsenal,Brazil,144
4,Matty Longstaff,,England,139
4,Morgan Sanson,,France,138
4,Andy Carroll,,England,136
4,Robert Snodgrass,,Scotland,136
4,Nathan Tella,,England,135
4,Andrii Yarmolenko,,Ukraine,135
4,DeAndre Yedlin,,United States,135
4,Conor Hourihane,,Ireland,133
4,Alex Oxlade-Chamberlain,Liverpool,England,131
4,Brandon Williams,Manchester United,England,123
4,Dale Stephens,Burnley,England,119
4,Aboubakar Kamara,,Mauritania,112
4,Billy Sharp,Sheffield United,England,112
4,Ian Poveda-Ocampo,,England,111
4,Cengiz Ünder,,[object Object],111
4,Phil Bardsley,,Scotland,109
4,Dwight Gayle,,England,108
4,Bailey Peacock-Farrell,,Northern Ireland,106
4,Davy Pröpper,,Netherlands,93
4,Aaron Connolly,,Ireland,92
4,Mamadou Sakho,,France,92
4,Eddie Nketiah,Arsenal,England,91
4,Fábio Carvalho,,Portugal,85
4,Maxime Le Marchand,,France,85
4,Adrián,Liverpool,Spain,80
4,Rúben Vinagre,,Portugal,80
4,Josh Benson,,England,79
4,Hal Robson-Kanu,West Bromwich Albion,Wales,79
4,Kiko Casilla,,Spain,78
4,Jack O'Connell,Sheffield United,England,77
4,Bernardo,,Brazil,74
4,Keinan Davis,,England,73
4,William Smallbone,,Ireland,73
4,Timothy Fosu-Mensah,,Netherlands,66
4,Lee Peltier,,England,65
4,Amad Diallo,,Cote D’Ivoire,63
4,Sead Kolasinac,,Bosnia & Herzegovina,62
4,Darren Randolph,,Ireland,61
4,Owen Otasowie,,United States,59
4,Ahmed Hegazy,,Egypt,56
4,Shane Long,,Ireland,56
4,Will Norris,,England,56
4,Divock Origi,,Belgium,56
4,Emerson,,Italy,56
4,Gaetano Berardi,,Switzerland,55
4,Anthony Elanga,Manchester United,Sweden,53
4,Caoimhín Kelleher,Liverpool,Ireland,52
4,Joshua King,,Norway,49
4,Shkodran Mustafi,,Germany,49
4,Jean-Philippe Mateta,,France,47
4,Carlos Vinícius,,Brazil,46
4,Yan Valery,,Tunisia,45
4,Terence Kongolo,,Netherlands,44
4,Lys Mousset,,France,44
4,Jonjoe Kenny,,England,42
4,Marek Rodák,,Slovakia,41
4,Kamil Grosicki,West Bromwich Albion,Poland,40
4,Andi Zeqiri,,Switzerland,38
4,David Button,West Bromwich Albion,England,36
4,Neeskens Kebano,,DR Congo,36
4,Daniel Jebbison,,England,35
4,Kyle Edwards,,England,34
4,Charlie Austin,,England,33
4,Percy Tau,,South Africa,31
4,Daniel N'Lundulu,,England,29
4,Fikayo Tomori,,England,29
4,Niels Nkounkou,,France,28
4,Zack Steffen,,United States,26
4,Sidnei Tavares,,Portugal,26
4,Anthony Gordon,,England,25
4,Willy Caballero,,Argentina,24
4,Sam Field,,England,24
4,Jack Butland,,England,19
4,Leif Davis,,England,19
4,Kayne Ramsay,,England,19
4,Rekeem Harper,,England,17
4,Niall Huggins,,Wales,17
4,Reiss Nelson,Arsenal,England,17
4,Oskar Buur,,Denmark,14
4,John Ruddy,,England,14
4,Cenk Tosun,,[object Object],14
4,Tyrese Francois,,Australia,13
4,Jake Vokins,,England,13
4,João Virgínia,,Portugal,12
4,Michael Obafemi,,Ireland,12
4,Caleb Watts,,Australia,12
4,Scott Carson,,England,10
4,Carney Chukwuemeka,,England,9
4,Jean-Philippe Gbamin,,Cote D’Ivoire,9
4,Demarai Gray,,England,9
4,Rúnar Rúnarsson,,Iceland,9
4,Islam Slimani,,Algeria,9
4,Neil Taylor,,Wales,9
4,José Izquierdo,,Colombia,7
4,Thakgalo Leshabela,,South Africa,7
4,Liam Delap,,England,6
4,Moise Kean,,Italy,6
4,Shola Shoretire,,England,6
5,Wes Morgan,,Jamaica,5
5,Joel Mumbongo,,Sweden,5
5,Felipe Anderson,,Brazil,5
5,Konstantinos Tsimikas,Liverpool,Greece,5
5,Wesley,,Brazil,4
5,Jaden Philogene,,England,4
5,Alexandre Jankewitz,,Switzerland,3
5,Martin Kelly,,England,3
5,Hannibal Mejbri,,Tunisia,3
5,Iliman Ndiaye,Sheffield United,Senegal,3
5,Nathan Broadhead,,Wales,2
5,Theo Corbeanu,,Canada,2
5,Patrick Cutrone,,Italy,2
5,Odion Ighalo,,Nigeria,2
5,Elliot Anderson,Newcastle United,Scotland,1
5,Antwoine Hackford,Sheffield United,England,1
5,Reda Khadra,,Germany,1
5,Jayson Molumby,,Ireland,1
5,Lewis Richardson,Burnley,England,1
5,Allan Tchaptchet,,France,1
