Rank,Player,Club,Nationality,Stat
1,Mason Greenwood,,England,1824
1,Christian Benteke,,Belgium,1818
1,Mateo Kovacic,Chelsea,Croatia,1818
1,Jairo Riedewald,Crystal Palace,Netherlands,1817
2,Çaglar Söyüncü,Leicester City,[object Object],1816
2,Gary Cahill,,England,1800
2,James Rodríguez,,Colombia,1775
2,Patrick van Aanholt,,Netherlands,1775
2,Oriol Romeu,,Spain,1767
2,Marc Albrighton,,England,1743
2,Christian Pulisic,Chelsea,United States,1736
2,Nathan Redmond,,England,1730
2,Ainsley Maitland-Niles,West Bromwich Albion,England,1719
2,Tyrick Mitchell,Crystal Palace,England,1710
2,Antonio Rüdiger,,Germany,1710
2,Jordan Henderson,Liverpool,England,1707
2,Mario Lemina,,Gabon,1703
2,Daniel Podence,Wolverhampton Wanderers,Portugal,1676
2,Solly March,Brighton & Hove Albion,England,1675
2,Theo Walcott,,England,1641
2,Jamaal Lascelles,Newcastle United,England,1627
2,Jacob Murphy,Newcastle United,England,1621
2,Dani Ceballos,,Spain,1615
2,Phil Foden,Manchester City,England,1613
2,Séamus Coleman,,Ireland,1612
2,Anwar El Ghazi,,Netherlands,1612
2,Nicolas Pépé,,Cote D’Ivoire,1612
2,Sèrge Aurier,,Cote D’Ivoire,1608
2,Ben Osborn,Sheffield United,England,1606
2,Adam Lallana,Brighton & Hove Albion,England,1588
2,Moussa Sissoko,,France,1577
2,Ross Barkley,,England,1576
2,Allan Saint-Maximin,Newcastle United,France,1568
2,André Gomes,,Portugal,1568
2,Callum Robinson,,Ireland,1563
2,Danny Welbeck,Brighton & Hove Albion,England,1546
2,Mohamed Elneny,Arsenal,Egypt,1542
2,Alex Iwobi,Everton,Nigeria,1539
2,Jack Stephens,,England,1539
2,Thomas Partey,Arsenal,Ghana,1534
2,Kai Havertz,Chelsea,Germany,1521
2,Romaine Sawyers,,St. Kitts & Nevis,1490
2,Davinson Sánchez,Tottenham Hotspur,Colombia,1486
2,Anthony Martial,Manchester United,France,1485
2,Kenny Tete,Fulham,Netherlands,1482
2,Oleksandr Zinchenko,,Ukraine,1474
2,James McArthur,Crystal Palace,Scotland,1471
2,Nampalys Mendy,,Senegal,1458
2,Kelechi Iheanacho,Leicester City,Nigeria,1456
2,Nathaniel Phillips,Liverpool,England,1455
2,Emile Smith Rowe,Arsenal,England,1448
2,Tom Davies,Everton,England,1426
2,Jeffrey Schlupp,Crystal Palace,Ghana,1425
2,Jeff Hendrick,,Ireland,1424
2,Jesse Lingard,,England,1424
2,Willian,,Brazil,1406
2,Sean Longstaff,Newcastle United,England,1406
2,Rayan Aït-Nouri,,Algeria,1403
2,Lucas Moura,Tottenham Hotspur,Brazil,1402
2,David Luiz,,Brazil,1396
2,Aleksandar Mitrovic,Fulham,Serbia,1390
2,Saïd Benrahma,West Ham United,Algeria,1389
2,Issa Diop,,France,1379
2,Andreas Christensen,,Denmark,1371
2,Edinson Cavani,,Uruguay,1368
2,Jóhann Gudmundsson,Burnley,Iceland,1366
2,Matej Vydra,,[object Object],1366
2,Fábio Silva,,Portugal,1355
2,Jack Cork,Burnley,England,1353
2,Matt Ritchie,Newcastle United,Scotland,1352
2,Scott Dann,,England,1350
2,Aymeric Laporte,Manchester City,Spain,1343
2,Ben Davies,Tottenham Hotspur,Wales,1340
2,Tyler Roberts,,Wales,1338
2,Ashley Barnes,Burnley,England,1336
2,Ayoze Pérez,,Spain,1332
2,Oliver McBurnie,Sheffield United,Scotland,1319
2,Okay Yokuslu,,[object Object],1319
2,Maximilian Kilman,Wolverhampton Wanderers,England,1307
2,Ferran Torres,,Spain,1305
2,Emil Krafth,Newcastle United,Sweden,1290
2,Rodrigo,Leeds United,Spain,1287
2,Oliver Burke,,Scotland,1270
2,Erik Pieters,,Netherlands,1262
2,Mathew Ryan,,Australia,1260
2,Paul Dummett,Newcastle United,Wales,1256
2,Jay Rodríguez,Burnley,England,1256
2,Jake Livermore,West Bromwich Albion,England,1247
2,Fabian Schär,Newcastle United,Switzerland,1246
2,Moussa Djenepo,Southampton,Mali,1238
2,Matt Doherty,,Ireland,1238
2,Grady Diangana,West Bromwich Albion,England,1237
2,Joe Willock,,England,1215
2,Steven Bergwijn,,Netherlands,1211
2,Diego Llorente,,Spain,1205
2,Fabián Balbuena,,Paraguay,1198
2,Mbaye Diagne,,Senegal,1194
2,Fernandinho,,Brazil,1184
2,Hakim Ziyech,Chelsea,Morocco,1179
2,Curtis Jones,Liverpool,England,1178
2,Martin Dúbravka,Newcastle United,Slovakia,1170
2,Trézéguet,,Egypt,1166
2,Hélder Costa,,Angola,1156
2,Nathaniel Clyne,Crystal Palace,England,1147
3,Karlan Grant,West Bromwich Albion,England,1132
3,Robin Koch,Leeds United,Germany,1131
3,Dean Henderson,,England,1125
3,Rhian Brewster,Sheffield United,England,1123
3,Sander Berge,Sheffield United,Norway,1120
3,Alexis Mac Allister,Brighton & Hove Albion,Argentina,1116
3,Willian José,,Brazil,1113
3,Diogo Jota,Liverpool,Portugal,1113
3,Jayden Bogle,Sheffield United,England,1107
3,Nemanja Matic,,Serbia,1101
3,James Milner,Liverpool,England,1062
3,Callum Hudson-Odoi,,England,1058
3,Robert Brady,,Ireland,1054
3,Tammy Abraham,,England,1034
3,Ibrahima Diallo,Southampton,France,1012
3,Arthur Masuaku,,DR Congo,1008
3,Kean Bryan,,England,1007
3,Takumi Minamino,,Japan,1006
3,Luke Thomas,Leicester City,England,969
3,Marcos Alonso,,Spain,959
3,Ricardo Pereira,Leicester City,Portugal,958
3,Benjamin Mendy,,France,955
3,Giovani Lo Celso,,Argentina,950
3,Sébastien Haller,,Cote D’Ivoire,935
3,Ryan Fraser,Newcastle United,Scotland,925
3,Gareth Bale,,Wales,923
3,Eric Bailly,,Cote D’Ivoire,915
3,Dan James,,Wales,911
3,Pablo Marí,,Spain,900
