Rank,Player,Club,Nationality,Stat
1,Mohammed Salisu,Southampton,Ghana,1
1,Fabian Schär,Newcastle United,Switzerland,1
1,Jeffrey Schlupp,Crystal Palace,Ghana,1
1,Billy Sharp,Sheffield United,England,1
1,Jonjo Shelvey,,England,1
1,Emile Smith Rowe,Arsenal,England,1
1,Douglas Luiz,Aston Villa,Brazil,1
1,Tomás Soucek,West Ham United,[object Object],1
1,Jack Stephens,,England,1
1,Youri Tielemans,Leicester City,Belgium,1
1,Yan Valery,,Tunisia,1
1,Joël Veltman,Brighton & Hove Albion,Netherlands,1
1,Kyle Walker-Peters,Southampton,England,1
1,James Ward-Prowse,Southampton,England,1
1,Georginio Wijnaldum,,Netherlands,1
1,Rhys Williams,Liverpool,England,1
1,Brandon Williams,Manchester United,England,1
1,Okay Yokuslu,,[object Object],1
1,Andi Zeqiri,,Switzerland,1
1,Hakim Ziyech,Chelsea,Morocco,1
2,Trent Alexander-Arnold,Liverpool,England,0
2,Joachim Andersen,,Denmark,0
2,Timothy Castagne,Leicester City,Belgium,0
2,Daniel Podence,Wolverhampton Wanderers,Portugal,0
2,Rúben Neves,Wolverhampton Wanderers,Portugal,0
2,Mateusz Klich,,Poland,0
2,Erik Lamela,,Argentina,0
2,Mario Lemina,,Gabon,0
2,Yerry Mina,Everton,Colombia,0
2,Josh Onomah,,England,0
2,Ian Poveda-Ocampo,,England,0
2,Sergio Reguilón,,Spain,0
2,James Rodríguez,,Colombia,0
2,Davinson Sánchez,Tottenham Hotspur,Colombia,0
