Rank,Player,Club,Nationality,Stat
2,Aaron Connolly,,Ireland,8
2,Aboubakar Kamara,,Mauritania,8
2,Naby Keïta,Liverpool,Guinea,8
2,Cheikhou Kouyaté,,Senegal,8
2,Nemanja Matic,,Serbia,8
2,Kenny Tete,Fulham,Netherlands,8
2,Donny van de Beek,Manchester United,Netherlands,8
2,Joel Ward,Crystal Palace,England,8
2,Tammy Abraham,,England,7
2,Carlos Vinícius,,Brazil,7
2,Gareth Bale,,Wales,7
2,Jonny,Wolverhampton Wanderers,Spain,7
2,Alireza Jahanbakhsh,,Iran,7
2,Ezri Konsa,Aston Villa,England,7
2,Jake Livermore,West Bromwich Albion,England,7
2,Diego Llorente,,Spain,7
2,Shane Long,,Ireland,7
2,Javier Manquillo,Newcastle United,Spain,7
2,Gabriel Martinelli,Arsenal,Brazil,7
2,Oliver Norwood,Sheffield United,Northern Ireland,7
2,Mohammed Salisu,Southampton,Ghana,7
2,Xherdan Shaqiri,,Switzerland,7
2,Emile Smith Rowe,Arsenal,England,7
2,Fabinho,Liverpool,Brazil,7
2,Conor Townsend,West Bromwich Albion,England,7
2,Joël Veltman,Brighton & Hove Albion,Netherlands,7
2,César Azpilicueta,Chelsea,Spain,6
2,Gabriel Magalhães,Arsenal,Brazil,6
2,Olivier Giroud,,France,6
2,Ben Godfrey,Everton,England,6
2,Ki-Jana Hoever,,Netherlands,6
2,Rob Holding,Arsenal,England,6
2,Mason Holgate,Everton,England,6
2,Ben Johnson,,England,6
2,Joshua King,,Norway,6
2,Tariq Lamptey,Brighton & Hove Albion,Ghana,6
2,Sean Longstaff,Newcastle United,England,6
2,Harry Maguire,Manchester United,England,6
2,Juan Mata,,Spain,6
2,Mark Noble,,England,6
2,Rúben Vinagre,,Portugal,6
2,Matt Targett,,England,6
2,Patrick van Aanholt,,Netherlands,6
2,Jannik Vestergaard,,Denmark,6
2,Adam Webster,Brighton & Hove Albion,England,6
2,Oleksandr Zinchenko,,Ukraine,6
2,Tosin Adarabioyo,Fulham,England,5
2,Semi Ajayi,West Bromwich Albion,Nigeria,5
2,Ethan Ampadu,Sheffield United,Wales,5
2,Jan Bednarek,Southampton,Poland,5
2,Héctor Bellerín,,Spain,5
2,Amad Diallo,,Cote D’Ivoire,5
2,Ryan Fraser,Newcastle United,Scotland,5
2,Morgan Gibbs-White,,England,5
2,Jordan Henderson,Liverpool,England,5
2,Daniel Jebbison,,England,5
2,Michael Keane,Everton,England,5
2,Filip Krovinovic,,Croatia,5
2,Jean-Philippe Mateta,,France,5
2,Benjamin Mendy,,France,5
2,Alex Telles,,Brazil,5
2,Eddie Nketiah,Arsenal,England,5
2,Angelo Ogbonna,West Ham United,Italy,5
2,Divock Origi,,Belgium,5
2,Alex Oxlade-Chamberlain,Liverpool,England,5
2,Davy Pröpper,,Netherlands,5
2,Matt Ritchie,Newcastle United,Scotland,5
2,Fabian Schär,Newcastle United,Switzerland,5
2,Jonjo Shelvey,,England,5
2,Jack Stephens,,England,5
2,Dale Stephens,Burnley,England,5
2,Japhet Tanganga,Tottenham Hotspur,England,5
2,Yan Valery,,Tunisia,5
3,Josh Benson,,England,4
3,Calum Chambers,,England,4
3,Keinan Davis,,England,4
3,Rúben Dias,Manchester City,Portugal,4
3,Mohamed Elneny,Arsenal,Egypt,4
3,Jonny Evans,Leicester City,Northern Ireland,4
3,Bernardo,,Brazil,4
3,Emil Krafth,Newcastle United,Sweden,4
3,Max Lowe,,England,4
3,Tyrone Mings,Aston Villa,England,4
3,Dara O'Shea,West Bromwich Albion,Ireland,4
3,Fernandinho,,Brazil,4
3,Robert Snodgrass,,Scotland,4
3,Çaglar Söyüncü,Leicester City,[object Object],4
3,James Tarkowski,,England,4
3,Kurt Zouma,,France,4
3,Daniel Amartey,,Ghana,3
3,Joachim Andersen,,Denmark,3
3,Willy Boly,,Cote D’Ivoire,3
3,Joe Bryan,,England,3
3,Andy Carroll,,England,3
3,Conor Coady,,England,3
3,Ahmed El Mohamady,,Egypt,3
3,Ryan Fredericks,,England,3
3,Joe Gomez,Liverpool,England,3
3,Ozan Kabak,,Turkey,3
3,Victor Lindelöf,Manchester United,Sweden,3
3,Vitinha,,Portugal,3
3,Owen Otasowie,,United States,3
3,Nathaniel Phillips,Liverpool,England,3
3,Davinson Sánchez,Tottenham Hotspur,Colombia,3
3,Morgan Sanson,,France,3
3,Sidnei Tavares,,Portugal,3
3,Neco Williams,,Wales,3
3,Harry Winks,,England,3
3,Toby Alderweireld,,Belgium,2
3,Charlie Austin,,England,2
3,Kyle Bartley,West Bromwich Albion,England,2
3,Nathaniel Clyne,Crystal Palace,England,2
3,Ben Davies,Tottenham Hotspur,Wales,2
3,Issa Diop,,France,2
3,Anthony Elanga,Manchester United,Sweden,2
3,Thiago Silva,Chelsea,Brazil,2
3,Federico Fernández,,Argentina,2
3,Timothy Fosu-Mensah,,Netherlands,2
3,Anthony Gordon,,England,2
3,Odion Ighalo,,Nigeria,2
3,Neeskens Kebano,,DR Congo,2
3,Maximilian Kilman,Wolverhampton Wanderers,England,2
3,Marçal,,Brazil,2
3,Ben Mee,,England,2
3,David Luiz,,Brazil,2
3,Daniel N'Lundulu,,England,2
3,Marvelous Nakamba,,Zimbabwe,2
3,Reiss Nelson,Arsenal,England,2
3,Michael Obafemi,,Ireland,2
3,Denis Odoi,,Ghana,2
3,Jack Robinson,Sheffield United,England,2
3,Romain Saïss,,Morocco,2
3,William Smallbone,,Ireland,2
3,John Stones,Manchester City,England,2
3,Nathan Aké,Manchester City,Netherlands,1
3,Phil Bardsley,,Scotland,1
3,Kean Bryan,,England,1
3,Oskar Buur,,Denmark,1
3,Gary Cahill,,England,1
3,Andreas Christensen,,Denmark,1
3,Ciaran Clark,,Ireland,1
3,Liam Cooper,Leeds United,Scotland,1
3,Leif Davis,,England,1
3,Liam Delap,,England,1
3,Eric Dier,Tottenham Hotspur,England,1
3,Lewis Dunk,Brighton & Hove Albion,England,1
3,Jimmy Dunne,,Ireland,1
3,Kyle Edwards,,England,1
3,John Egan,Sheffield United,Ireland,1
3,Sam Field,,England,1
3,Christian Fuchs,,Austria,1
3,Dwight Gayle,,England,1
3,Jean-Philippe Gbamin,,Cote D’Ivoire,1
3,Kieran Gibbs,,England,1
3,Kamil Grosicki,West Bromwich Albion,Poland,1
3,Pablo Hernández,,Spain,1
3,Aymeric Laporte,Manchester City,Spain,1
3,Jamaal Lascelles,Newcastle United,England,1
3,Bernd Leno,,Germany,1
3,Thakgalo Leshabela,,South Africa,1
3,Hugo Lloris,Tottenham Hotspur,France,1
3,Matty Longstaff,,England,1
3,Joël Matip,Liverpool,Cameroon,1
3,James McCarthy,,Ireland,1
3,Illan Meslier,Leeds United,France,1
3,Yerry Mina,Everton,Colombia,1
3,Joel Mumbongo,,Sweden,1
3,Niels Nkounkou,,France,1
3,Tim Ream,Fulham,United States,1
3,Antonio Rüdiger,,Germany,1
3,Mamadou Sakho,,France,1
3,Jamie Shackleton,,England,1
3,Percy Tau,,South Africa,1
3,Axel Tuanzebe,,England,1
3,Caleb Watts,,Australia,1
3,Brandon Williams,Manchester United,England,1
3,DeAndre Yedlin,,United States,1
3,Andi Zeqiri,,Switzerland,1
4,Hamza Choudhury,,England,0
4,Fabian Delph,,England,0
4,Lukasz Fabianski,West Ham United,Poland,0
4,Billy Gilmour,,Scotland,0
4,Dean Henderson,,England,0
4,Aaron Ramsdale,,England,0
4,Cenk Tosun,,[object Object],0
